"","","","","Tolerance","Minimum","Maximum"
"Substrate 1 Height","H1","30.0000","+/-","0.0000","30.0000","30.0000"
"Substrate 1 Dielectric","Er1","4.0000","+/-","0.0000","4.0000","4.0000"
"Lower Trace Width","W1","50.0000","+/-","0.0000","50.0000","50.0000"
"Upper Trace Width","W2","48.0000","+/-","0.0000","48.0000","48.0000"
"Trace Thickness","T1","15.0000","+/-","0.0000","15.0000","15.0000"
"Impedance","Zo","51.160","","--------","51.160","51.160"
"Delay (ps/m)","D","5597.927","","--------","5597.927","5597.927"
"Inductance (nH/m)","L","286.392","","--------","286.392","286.392"
"Capacitance (pF/m)","C","109.419","","--------","109.419","109.419"
"Effective Dielectric Constant","EEr","2.816","","--------","2.816","2.816"
"Velocity of Propagation (CITS)","Vp","0.596","","--------","0.596","0.596"
